"12235","ACCT 203","Survey of Accounting","001","Fairfax Campus","Jan 19, 2010 - May 12, 2010","M","12:00 pm - 1:15 pm","Enterprise Hall 80","Lecture","Constance M Hylton"
"12237","ACCT 203","Survey of Accounting","002","Fairfax Campus","Jan 19, 2010 - May 12, 2010","W","12:00 pm - 1:15 pm","Enterprise Hall 80","Lecture","Constance M Hylton"
"12238","ACCT 203","Survey of Accounting","003","Fairfax Campus","Jan 19, 2010 - May 12, 2010","M","7:20 pm - 10:00 pm","Thompson Hall 138","Lecture","Paul T Harley"
"12239","ACCT 203","Recitation for Lecture 001","301","Fairfax Campus","Jan 19, 2010 - May 12, 2010","T","9:00 am - 10:15 am","Enterprise Hall 174","Recitation","Melissa A Brickman"
"12240","ACCT 203","Recitation for Lecture 001","302","Fairfax Campus","Jan 19, 2010 - May 12, 2010","T","10:30 am - 11:45 am","Enterprise Hall 174","Recitation","Melissa A Brickman"
"12243","ACCT 203","Recitation for Lecture 001","303","Fairfax Campus","Jan 19, 2010 - May 12, 2010","T","12:00 pm - 1:15 pm","Enterprise Hall 174","Recitation","Jennifer Catalfamo"
"12246","ACCT 203","Recitation for Lecture 001","304","Fairfax Campus","Jan 19, 2010 - May 12, 2010","T","1:30 pm - 2:45 pm","Enterprise Hall 174","Recitation","Amy Christine Watkins"
"12242","ACCT 203","Recitation for Lecture 002","305","Fairfax Campus","Jan 19, 2010 - May 12, 2010","R","9:00 am - 10:15 am","Enterprise Hall 174","Recitation","Jennifer Catalfamo"
"12245","ACCT 203","Recitation for Lecture 002","306","Fairfax Campus","Jan 19, 2010 - May 12, 2010","R","10:30 am - 11:45 am","Enterprise Hall 174","Recitation","Jennifer Catalfamo"
"12247","ACCT 203","Recitation for Lecture 002","307","Fairfax Campus","Jan 19, 2010 - May 12, 2010","R","12:00 pm - 1:15 pm","Enterprise Hall 174","Recitation","Melissa A Brickman"
"18943","ACCT 203","Recitation for Lecture 002","308","Fairfax Campus","Jan 19, 2010 - May 12, 2010","R","1:30 pm - 2:45 pm","Enterprise Hall 174","Recitation","Amy Christine Watkins"
"12251","ACCT 301","Financial Acct/Mangerl Dec-Mkg","001","Fairfax Campus","Jan 19, 2010 - May 12, 2010","MW","1:30 pm - 2:45 pm","Art and Design Building 2003","Lecture","Suning Zhang"
"12252","ACCT 301","Financial Acct/Mangerl Dec-Mkg","002","Fairfax Campus","Jan 19, 2010 - May 12, 2010","MW","3:00 pm - 4:15 pm","Art and Design Building 2003","Lecture","Suning Zhang"
"12253","ACCT 301","Financial Acct/Mangerl Dec-Mkg","003","Fairfax Campus","Jan 19, 2010 - May 12, 2010","TR","10:30 am - 11:45 am","Robinson Hall B201","Lecture","Suning Zhang"
