"40968","ACCT 203","Survey of Accounting","A01","Fairfax Campus","May 21, 2012 - Jun 22, 2012","MTWR","12:00 pm - 2:15 pm","DNU Science Technology I 122","Lecture","Syed Hasan"
"40208","ACCT 203","Survey of Accounting","C01","Fairfax Campus","Jul 02, 2012 - Aug 04, 2012","TR","7:00 pm - 10:05 pm","DNU Science Technology I 122","Lecture","Paul T Harley","Jul 02, 2012 - Aug 04, 2012","S","9:00 am - 12:05 pm","Robinson Hall B228","Lecture","TBA"
"40162","ACCT 301","Financial Acct/Mangerl Dec-Mkg","A01","Fairfax Campus","May 21, 2012 - Jun 22, 2012","MTWR","12:00 pm - 2:15 pm","University Hall 1201","Lecture","Wagih G Dafashy"
"40163","ACCT 301","Financial Acct/Mangerl Dec-Mkg","A02","Fairfax Campus","May 21, 2012 - Jun 22, 2012","TR","7:00 pm - 10:05 pm","DNU Science Technology I 122","Lecture","Kathleen R Roberts","May 21, 2012 - Jun 22, 2012","S","9:00 am - 12:05 pm","Robinson Hall B228","Lecture","Kathleen R Roberts"
"40210","ACCT 301","Financial Acct/Mangerl Dec-Mkg","C01","Fairfax Campus","Jul 02, 2012 - Aug 04, 2012","MTWR","9:30 am - 11:45 am","DNU Science Technology I 122","Lecture","Rick C Warne"
"40211","ACCT 301","Financial Acct/Mangerl Dec-Mkg","C02","Fairfax Campus","Jul 02, 2012 - Aug 04, 2012","MWF","7:00 pm - 10:05 pm","Robinson Hall B228","Lecture","Gary D Brooks"
"40596","ACCT 311","Managerial and Cost Accounting","A01","Fairfax Campus","May 21, 2012 - Jun 22, 2012","MTWR","12:00 pm - 2:15 pm","Innovation Hall 206","Lecture","Reza Rafi"
"40164","ACCT 331","Intermediate Financial Acct I","A01","Fairfax Campus","May 21, 2012 - Jun 22, 2012","TR","7:00 pm - 10:05 pm","DNU Science Technology I 124","Lecture","Jagadison K Aier","May 21, 2012 - Jun 22, 2012","S","9:00 am - 12:05 pm","Nguyen Engineering Building 1109","Lecture","TBA"
"40595","ACCT 331","Intermediate Financial Acct I","A02","Fairfax Campus","May 21, 2012 - Jun 22, 2012","MTWR","12:00 pm - 2:15 pm","Art and Design Building 2026","Lecture","Jagadison K Aier"
"40655","ACCT 332","Intermediate Financial Acct II","C01","Fairfax Campus","Jul 02, 2012 - Aug 04, 2012","MWF","7:00 pm - 10:05 pm","Robinson Hall B111","Lecture","Phillip G Buchanan"
"41130","ACCT 332","Intermediate Financial Acct II","C02","Fairfax Campus","Jul 02, 2012 - Aug 04, 2012","MTWR","9:30 am - 11:45 am","Robinson Hall B111","Lecture","Phillip G Buchanan"
"40200","ACCT 351","Taxation/Mngrl Decision Mkg","A01","Fairfax Campus","May 21, 2012 - Jun 22, 2012","TR","7:00 pm - 10:05 pm","Robinson Hall B111","Lecture","Massood Y Zadeh","May 21, 2012 - Jun 22, 2012","S","9:00 am - 12:05 pm","Robinson Hall B111","Lecture","TBA"
"40629","ACCT 351","Taxation/Mngrl Decision Mkg","A02","Fairfax Campus","May 21, 2012 - Jun 22, 2012","MTWR","12:00 pm - 2:15 pm","Innovation Hall 204","Lecture","Massood Y Zadeh"
"41713","ACCT 372","Business Analysis/Valuation","B01","Fairfax Campus","Jun 04, 2012 - Jul 26, 2012","MW","7:20 pm - 10:00 pm","Robinson Hall B208","Lecture","Mikhail B Pevzner"
"40447","ACCT 461","Assurance and Audit Services","A01","Fairfax Campus","May 21, 2012 - Jun 22, 2012","MTWR","12:00 pm - 2:15 pm","Art and Design Building L008","Lecture","Keith L Jones"
"42008","ACCT 461","Assurance and Audit Services","A02","Fairfax Campus","May 21, 2012 - Jun 22, 2012","MTWR","9:30 am - 11:45 am","DNU Science Technology I 127","Lecture","Keith L Jones"
"40837","ACCT 461","Assurance and Audit Services","C01","Fairfax Campus","Jul 02, 2012 - Aug 04, 2012","MTWR","9:30 am - 11:45 am","Enterprise Hall 277","Lecture","Robert J Pawlewicz"
"41847","ACCT 472","Govt/Not-for-Profit Accounting","X04","Fairfax Campus","May 29, 2012 - Jun 26, 2012","TR","3:45 pm - 6:50 pm","Art and Design Building 2026","Lecture","Syed Hasan","May 29, 2012 - Jun 26, 2012","S","9:00 am - 12:05 pm","Art and Design Building 2026","Lecture","TBA"
"41843","ACCT 611","Advanced Managerial Accounting","X04","Fairfax Campus","May 29, 2012 - Jun 26, 2012","TR","7:00 pm - 10:05 pm","Art and Design Building L008","Lecture","Syed Hasan","May 29, 2012 - Jun 26, 2012","S","12:15 pm - 3:20 pm","Art and Design Building L008","Lecture","TBA"
"41672","ACCT 701","Business Valuation","B01","Fairfax Campus","Jun 04, 2012 - Jul 26, 2012","MW","4:30 pm - 7:10 pm","Enterprise Hall 277","Lecture","Mikhail B Pevzner"
"42156","ACCT 701","Business Valuation","B02","Arlington Campus","Jun 04, 2012 - Jul 26, 2012","TR","4:30 pm - 7:10 pm","Arlington: Founders Hall 308","Lecture","Mikhail B Pevzner"
"41127","ACCT 795","Global Accounting Environment","X01","Fairfax Campus","May 19, 2012 - Jun 11, 2012"," ","TBA","Off-campus Location OCL","Lecture","Anne M Magro","Jun 11, 2012 - Jun 11, 2012","M","1:30 pm - 4:10 pm","Robinson Hall A352","Lecture","TBA"
"41110","ANTH 114","Intro to Cultural Anthropology","A01","Fairfax Campus","May 21, 2012 - Jun 22, 2012","MTWR","9:30 am - 11:45 am","Robinson Hall B102","Lecture","Andrew Bickford"
"42078","ANTH 332","Cultures Comparative Perspectv","A02","Fairfax Campus","May 21, 2012 - Jun 22, 2012","MWF","7:00 pm - 10:05 pm","Krug Hall 210","Lecture","Susan R Trencher"
"40998","AIT 685","Capstone Seminar","B01","Fairfax Campus","Jun 04, 2012 - Jul 26, 2012","W","4:30 pm - 7:10 pm","Robinson Hall A210","Seminar","Robert T Quinn"
"40044","ARAB 210","Intermediate Arabic","A01","Fairfax Campus","May 21, 2012 - Jun 22, 2012","MTWR","9:30 am - 11:45 am","Thompson Hall 1017","Lecture","Ghassan Husseinali"
"40045","ARAB 250","Gateway to Advanced Arabic","C01","Fairfax Campus","Jul 02, 2012 - Aug 04, 2012","MTWR","9:30 am - 11:45 am","Thompson Hall 2022","Lecture","Ghassan Husseinali"
"40660","ARTH 200","Survey of Western Art","A01","Fairfax Campus","May 21, 2012 - Jun 22, 2012","MTWR","2:00 pm - 4:15 pm","Robinson Hall B113","Lecture","Maureen M Guignon"
"41187","ARTH 320","Art of the Islamic World","A01","Fairfax Campus","May 21, 2012 - Jun 22, 2012","MTWR","9:30 am - 11:45 am","Art and Design Building 2026","Lecture","Maureen M Guignon"
"40662","ARTH 374","Art Now","A01","Fairfax Campus","May 21, 2012 - Jun 22, 2012","MTWR","9:30 am - 11:45 am","Innovation Hall 204","Lecture","Nicole De Armendi"
"40198","ARTH 394","The Museum","C01","Fairfax Campus","Jul 02, 2012 - Aug 04, 2012","MTWR","12:00 pm - 2:15 pm","Research Hall 201","Lecture","Lawrence E Butler"
"41188","ARTH 420","Ancient Near East","B01","Fairfax Campus","Jun 04, 2012 - Jul 26, 2012","TR","4:30 pm - 7:10 pm","Research Hall 201","Seminar","Richard S Mason"
"40664","ARTH 599","Ancient Near East","B01","Fairfax Campus","Jun 04, 2012 - Jul 26, 2012","TR","4:30 pm - 7:10 pm","Research Hall 201","Seminar","Richard S Mason"
"41600","ARTH 630","Gilded Age","A01","Off-campus/Other Campus","May 21, 2012 - Jun 22, 2012","TR","5:00 pm - 8:00 pm","Off-campus Location OCL","Lecture","Jennifer Van Horn"
"40320","AVT 103","Introduct to Artist's Studio","A01","Fairfax Campus","May 21, 2012 - Jun 22, 2012","MTWR","9:30 am - 11:45 am","Art and Design Building 2002","Lecture","Natalie T Guerrieri"
"41634","AVT 180","New Media in the Creative Arts","A01","Fairfax Campus","May 21, 2012 - Jun 22, 2012","MTWR","12:00 pm - 2:15 pm","Art and Design Building 1021","Studio","Gail S White"
"41827","AVT 215","Typography","B02","Fairfax Campus","Jun 04, 2012 - Jul 26, 2012","TR","4:30 pm - 8:00 pm","Art and Design Building 1020","Studio","Donald H Starr"
"40476","AVT 222","Drawing I","A01","Fairfax Campus","May 21, 2012 - Jun 22, 2012","MTWRF","9:30 am - 1:30 pm","Art and Design Building 2049","Studio","Chawky Frenn"
"40324","AVT 252","Fundamentals of Photography","B01","Fairfax Campus","Jun 04, 2012 - Jul 26, 2012","TR","4:30 pm - 8:00 pm","Art and Design Building L011","Studio","Devon O Johnson"
"40325","AVT 253","Intro to Digital Photography","B01","Fairfax Campus","Jun 04, 2012 - Jul 26, 2012","MW","4:30 pm - 8:00 pm","Art and Design Building L016","Studio","Kelly A Carr"
"40965","AVT 253","Intro to Digital Photography","B02","Fairfax Campus","Jun 04, 2012 - Jul 26, 2012","MW","12:00 pm - 3:30 pm","Art and Design Building L016","Studio","Christin Mary Boggs"
"40315","AVT 307","Aesthetics","A01","Fairfax Campus","May 21, 2012 - Jun 22, 2012","MTWR","9:30 am - 11:45 am","Art and Design Building 1005","Lecture","Laura Zam"
"41669","AVT 311","Graph Design Method/Principles","B02","Fairfax Campus","Jun 04, 2012 - Jul 26, 2012","MW","4:30 pm - 8:00 pm","Art and Design Building 1020","Studio","Doris Quinones"
"41723","AVT 313","Editorial Design","B03","Fairfax Campus","Jun 04, 2012 - Jul 26, 2012","MW","12:00 pm - 3:30 pm","Art and Design Building 1022","Studio","Maureen Lauran"
"40317","AVT 323","Drawing II","A01","Fairfax Campus","May 21, 2012 - Jun 22, 2012","MTWRF","9:30 am - 1:30 pm","Art and Design Building 2049","Studio","Chawky Frenn"
"41340","AVT 393","Field Experience in the Arts","0","Fairfax Campus","May 21, 2012 - Jun 22, 2012","MWF","7:00 pm - 10:05 pm","Art and Design Building 1005","Lecture","Laura Zam"
"41828","AVT 414","Corporate Design and Branding","B02","Fairfax Campus","Jun 04, 2012 - Jul 26, 2012","MW","4:30 pm - 8:00 pm","Art and Design Building 1022","Studio","Jake T Cheney"
"40318","AVT 422","Drawing III","A01","Fairfax Campus","May 21, 2012 - Jun 22, 2012","MTWRF","9:30 am - 1:30 pm","Art and Design Building 2049","Studio","Chawky Frenn"
"40319","AVT 423","Drawing IV","A01","Fairfax Campus","May 21, 2012 - Jun 22, 2012","MTWRF","9:30 am - 1:30 pm","Art and Design Building 2049","Studio","Chawky Frenn"
"41544","AVT 489","Internship in Art/Visual Tech","0","Fairfax Campus","May 21, 2012 - Jun 22, 2012","MTWRF","9:30 am - 1:30 pm","Art and Design Building 2049","Studio","Chawky Frenn"
"40679","AVT 523","Drawing VI","A01","Fairfax Campus","May 21, 2012 - Jun 22, 2012","MTWRF","9:30 am - 1:30 pm","Art and Design Building 2049","Studio","Chawky Frenn"
"42083","AMGT 599","Viral Mktg & Social Media","B02","Arlington Campus","Jun 04, 2012 - Jul 26, 2012","MW","4:30 pm - 7:10 pm","Arlington: Founders Hall 312","Lecture","Karalee Dawn"
"41333","AMGT 740","Internal Internship","I01","Fairfax Campus","Jul 02, 2012 - Aug 04, 2012"," ","TBA","To Be Arranged TBA","Internship","Nicole M Springer"
"41334","AMGT 790","External Internship","I01","Fairfax Campus","Jul 02, 2012 - Aug 04, 2012"," ","TBA","To Be Arranged TBA","Internship","Nicole M Springer"
"41797","AMGT 790","External Internship","I02","Fairfax Campus","Jul 02, 2012 - Aug 04, 2012"," ","TBA","To Be Arranged TBA","Internship","Nicole M Springer"
"40224","ASTR 111","Introductory Astr:Solar System","A01","Fairfax Campus","May 21, 2012 - Jun 22, 2012","TR","3:45 pm - 6:50 pm","Robinson Hall B228","Lecture","Anna Wyczalkowski","May 21, 2012 - Jun 22, 2012","S","12:15 pm - 3:20 pm","Robinson Hall B228","Lecture","TBA"
"40225","ASTR 111","Introductory Astr:Solar System","A02","Fairfax Campus","May 21, 2012 - Jun 22, 2012","MTWR","9:30 am - 11:45 am","Blueridge Hall 129","Lecture","Anna Wyczalkowski"
"40227","ASTR 112","Intro Astr Lab: Solar System","2A2","Fairfax Campus","May 21, 2012 - Jun 22, 2012","TR","7:10 pm - 10:00 pm","DNU Science Technology I 112","Laboratory","Mario Gliozzi"
"41693","ASTR 112","Intro Astr Lab: Solar System","2A4","Fairfax Campus","May 21, 2012 - Jun 22, 2012","TR","12:30 pm - 3:20 pm","DNU Science Technology I 112","Laboratory","Indrajit Das"
"41694","ASTR 112","Intro Astr Lab: Solar System","2A5","Fairfax Campus","May 21, 2012 - Jun 22, 2012","MW","12:30 pm - 3:20 pm","DNU Science Technology I 112","Laboratory","Anna Wyczalkowski"
"40229","ASTR 113","Intro Astr: Stars/Galax/Univer","C01","Fairfax Campus","Jul 02, 2012 - Aug 04, 2012","TR","3:45 pm - 6:50 pm","Robinson Hall B203","Lecture","Harold A Geller","Jul 02, 2012 - Aug 04, 2012","S","12:15 pm - 3:20 pm","DNU Science Technology I 224","Lecture","Harold A Geller"
"40230","ASTR 113","Intro Astr: Stars/Galax/Univer","C02","Fairfax Campus","Jul 02, 2012 - Aug 04, 2012","MTWR","9:30 am - 11:45 am","Robinson Hall A243","Lecture","Harold A Geller"
