"10039","ACCT 203","Survey of Accounting","001","Fairfax Campus","Jan 23, 2006 - May 17, 2006","M","12:00 pm - 1:15 pm","Innovation Hall 103","Lecture","Constance M Hylton"
"10040","ACCT 203","Survey of Accounting","002","Fairfax Campus","Jan 23, 2006 - May 17, 2006","T","12:00 pm - 1:15 pm","Lecture Hall 1","Lecture","Constance M Hylton"
"10078","ACCT 203","Survey of Accounting","003","Fairfax Campus","Jan 23, 2006 - May 17, 2006","M","7:20 pm - 10:00 pm","Enterprise Hall 178","Lecture","Constance M Hylton"
"13339","ACCT 203","Recitation for Lecture 001","301","Fairfax Campus","Jan 23, 2006 - May 17, 2006","M","1:30 pm - 2:45 pm","DNU Student Union 2 SOM2","Recitation","Alison S O'Brien"
"13340","ACCT 203","Recitation for Lecture 001","302","Fairfax Campus","Jan 23, 2006 - May 17, 2006","M","3:00 pm - 4:15 pm","DNU Student Union 2 SOM2","Recitation","Alison S O'Brien"
"13341","ACCT 203","Recitation for Lecture 001","303","Fairfax Campus","Jan 23, 2006 - May 17, 2006","T","10:30 am - 11:45 am","DNU Student Union 2 SOM3","Recitation","Jennifer Boulet Robertson"
"13343","ACCT 203","Recitation for Lecture 001","304","Fairfax Campus","Jan 23, 2006 - May 17, 2006","T","12:00 pm - 1:15 pm","DNU Student Union 2 SOM1","Recitation","Jennifer Boulet Robertson"
"13344","ACCT 203","Recitation for Lecture 002","305","Fairfax Campus","Jan 23, 2006 - May 17, 2006","T","1:30 pm - 2:45 pm","DNU Student Union 2 SOM1","Recitation","Vildan Bayramoglu"
"13345","ACCT 203","Recitation for Lecture 002","306","Fairfax Campus","Jan 23, 2006 - May 17, 2006","T","3:00 pm - 4:15 pm","DNU Student Union 2 SOM1","Recitation","Alison S O'Brien"
"13346","ACCT 203","Recitation for Lecture 002","307","Fairfax Campus","Jan 23, 2006 - May 17, 2006","R","10:30 am - 11:45 am","DNU Student Union 2 SOM3","Recitation","Alison S O'Brien"
"13347","ACCT 203","Recitation for Lecture 002","308","Fairfax Campus","Jan 23, 2006 - May 17, 2006","R","1:30 pm - 2:45 pm","DNU Student Union 2 SOM1","Recitation","Vildan Bayramoglu"
"10204","ACCT 301","Financial Acct/Mangerl Dec-Mkg","001","Fairfax Campus","Jan 23, 2006 - May 17, 2006","MW","1:30 pm - 2:45 pm","Innovation Hall 132","Lecture","Min Shen"
"10205","ACCT 301","Financial Acct/Mangerl Dec-Mkg","002","Fairfax Campus","Jan 23, 2006 - May 17, 2006","MW","3:00 pm - 4:15 pm","Innovation Hall 132","Lecture","Min Shen"
"10209","ACCT 301","Financial Acct/Mangerl Dec-Mkg","003","Fairfax Campus","Jan 23, 2006 - May 17, 2006","T","7:20 pm - 10:00 pm","Innovation Hall 204","Lecture","Joseph F Moraglio"
"10208","ACCT 301","Financial Acct/Mangerl Dec-Mkg","004","Fairfax Campus","Jan 23, 2006 - May 17, 2006","TR","10:30 am - 11:45 am","Innovation Hall 132","Lecture","Joseph F Moraglio"
"10207","ACCT 301","Financial Acct/Mangerl Dec-Mkg","005","Fairfax Campus","Jan 23, 2006 - May 17, 2006","TR","3:00 pm - 4:15 pm","Innovation Hall 204","Lecture","Joseph F Moraglio"
"10206","ACCT 301","Financial Acct/Mangerl Dec-Mkg","006","Fairfax Campus","Jan 23, 2006 - May 17, 2006","R","7:20 pm - 10:00 pm","Innovation Hall 132","Lecture","Sarah E Nutter"
