"74120","ACCT 203","Survey of Accounting","001","Fairfax Campus","Aug 27, 2007 - Dec 18, 2007","W","12:00 pm - 1:15 pm","Innovation Hall 103","Lecture","Constance M Hylton"
"74121","ACCT 203","Survey of Accounting","002","Fairfax Campus","Aug 27, 2007 - Dec 18, 2007","R","12:00 pm - 1:15 pm","Innovation Hall 103","Lecture","Constance M Hylton"
"74122","ACCT 203","Survey of Accounting","003","Fairfax Campus","Aug 27, 2007 - Dec 18, 2007","M","7:20 pm - 10:00 pm","Enterprise Hall 178","Lecture","Paul T Harley"
"74123","ACCT 203","Recitation for Lecture 001","301","Fairfax Campus","Aug 27, 2007 - Dec 18, 2007","M","10:30 am - 11:45 am","DNU Student Union II SOM3","Recitation","Amanda Lynn Burns"
"74125","ACCT 203","Recitation for Lecture 001","302","Fairfax Campus","Aug 27, 2007 - Dec 18, 2007","M","12:00 pm - 1:15 pm","DNU Student Union II SOM3","Recitation","Amanda Lynn Burns"
"74126","ACCT 203","Recitation for Lecture 001","303","Fairfax Campus","Aug 27, 2007 - Dec 18, 2007","M","12:00 pm - 1:15 pm","DNU Student Union II SOM2","Recitation","Mikhail Edward Moylan"
"74127","ACCT 203","Recitation for Lecture 001","304","Fairfax Campus","Aug 27, 2007 - Dec 18, 2007","M","1:30 pm - 2:45 pm","DNU Student Union II SOM2","Recitation","Mikhail Edward Moylan"
"74128","ACCT 203","Recitation for Lecture 002","305","Fairfax Campus","Aug 27, 2007 - Dec 18, 2007","T","10:30 am - 11:45 am","DNU Student Union II SOM3","Recitation","Fariba Nasary"
"74129","ACCT 203","Recitation for Lecture 002","306","Fairfax Campus","Aug 27, 2007 - Dec 18, 2007","T","12:00 pm - 1:15 pm","DNU Student Union II SOM3","Recitation","Mikhail Edward Moylan"
"74130","ACCT 203","Recitation for Lecture 002","307","Fairfax Campus","Aug 27, 2007 - Dec 18, 2007","T","12:00 pm - 1:15 pm","DNU Student Union II SOM1","Recitation","Fariba Nasary"
"74131","ACCT 203","Recitation for Lecture 002","308","Fairfax Campus","Aug 27, 2007 - Dec 18, 2007","T","1:30 pm - 2:45 pm","DNU Student Union II SOM1","Recitation","Fariba Nasary"
"74132","ACCT 301","Financial Acct/Mangerl Dec-Mkg","001","Fairfax Campus","Aug 27, 2007 - Dec 18, 2007","MW","1:30 pm - 2:45 pm","Robinson Hall B201","Lecture","Mikhail B Pevzner"
"74133","ACCT 301","Financial Acct/Mangerl Dec-Mkg","002","Fairfax Campus","Aug 27, 2007 - Dec 18, 2007","MW","3:00 pm - 4:15 pm","Robinson Hall B201","Lecture","Mikhail B Pevzner"
"74134","ACCT 301","Financial Acct/Mangerl Dec-Mkg","003","Fairfax Campus","Aug 27, 2007 - Dec 18, 2007","TR","1:30 pm - 2:45 pm","Robinson Hall B201","Lecture","David A Roe"
"74135","ACCT 301","Financial Acct/Mangerl Dec-Mkg","004","Fairfax Campus","Aug 27, 2007 - Dec 18, 2007","TR","3:00 pm - 4:15 pm","Fine Arts Building DNU B108","Lecture","Joseph F Moraglio"
"74136","ACCT 301","Financial Acct/Mangerl Dec-Mkg","005","Fairfax Campus","Aug 27, 2007 - Dec 18, 2007","M","7:20 pm - 10:00 pm","Thompson Hall 138","Lecture","Jody Z Moore"
"74137","ACCT 301","Financial Acct/Mangerl Dec-Mkg","006","Fairfax Campus","Aug 27, 2007 - Dec 18, 2007","T","7:20 pm - 10:00 pm","DNU Science Technology II 9","Lecture","Joseph F Moraglio"
"74138","ACCT 301","Financial Acct/Mangerl Dec-Mkg","007","Fairfax Campus","Aug 27, 2007 - Dec 18, 2007","W","7:20 pm - 10:00 pm","DNU Science Technology II 9","Lecture","Min Shen"
"74139","ACCT 301","Financial Acct/Mangerl Dec-Mkg","008","Fairfax Campus","Aug 27, 2007 - Dec 18, 2007","R","4:30 pm - 7:10 pm","DNU Science Technology II 9","Lecture","Joseph F Moraglio"
"74140","ACCT 301","Financial Acct/Mangerl Dec-Mkg","009","Fairfax Campus","Aug 27, 2007 - Dec 18, 2007","R","7:20 pm - 10:00 pm","DNU Science Technology I 131","Lecture","Vanessa L Hester"
"74141","ACCT 301","Financial Acct/Mangerl Dec-Mkg","010","Fairfax Campus","Aug 27, 2007 - Dec 18, 2007","F","9:00 am - 11:45 am","Fine Arts Building DNU B106","Lecture","Syed Hasan"
"74142","ACCT 311","Managerial and Cost Accounting","001","Fairfax Campus","Aug 27, 2007 - Dec 18, 2007","TR","9:00 am - 10:15 am","Enterprise Hall 173","Lecture","Edward B Douthett"
"74143","ACCT 311","Managerial and Cost Accounting","002","Fairfax Campus","Aug 27, 2007 - Dec 18, 2007","TR","1:30 pm - 2:45 pm","Innovation Hall 131","Lecture","Tracy Renee Bolo McMichael"
"74144","ACCT 311","Managerial and Cost Accounting","003","Fairfax Campus","Aug 27, 2007 - Dec 18, 2007","TR","3:00 pm - 4:15 pm","Robinson Hall B203","Lecture","Tracy Renee Bolo McMichael"
"74145","ACCT 311","Managerial and Cost Accounting","004","Fairfax Campus","Aug 27, 2007 - Dec 18, 2007","T","7:20 pm - 10:00 pm","Fine Arts Building DNU B106","Lecture","Tracy Renee Bolo McMichael"
"74146","ACCT 311","Managerial and Cost Accounting","005","Fairfax Campus","Aug 27, 2007 - Dec 18, 2007","R","7:20 pm - 10:00 pm","DNU Science Technology I 212","Lecture","Massood Y Zadeh"
"77575","ACCT 311","Managerial and Cost Accounting","006","Fairfax Campus","Aug 27, 2007 - Dec 18, 2007","F","12:00 pm - 2:45 pm","Robinson Hall B203","Lecture","Syed Hasan"
