"50201","ARTH 320","Art of the Islamic World","A01","Fairfax Campus","May 22, 2006 - Jun 24, 2006","MTWR","9:30 am - 11:35 am","Fine Arts Building DNU B110","Lecture","Maureen M Guignon"
"50223","ARTH 394","The Museum","C01","Fairfax Campus","Jul 05, 2006 - Aug 05, 2006","MTWRF","2:00 pm - 3:50 pm","Fine Arts Building DNU B212","Lecture","Richard S Mason"
"51287","ARTH 594","The Museum","C01","Fairfax Campus","Jul 05, 2006 - Aug 05, 2006","MTWRF","2:00 pm - 3:50 pm","Fine Arts Building DNU B112","Lecture","Richard S Mason"
"50781","AVT 104","Studio Fundamentals I","C01","Fairfax Campus","Jul 05, 2006 - Aug 05, 2006","MTWRF","9:30 am - 1:30 pm","Fine Arts Building DNU B100","Studio","Natalie T Guerrieri"
"50782","AVT 180","Computers in Creative Arts","C01","Fairfax Campus","Jul 05, 2006 - Aug 05, 2006","MTWRF","9:30 am - 11:35 am","Fine Arts Building DNU B208","Studio","Andrew C McPherson"
"50756","AVT 222","Drawing I","A01","Fairfax Campus","May 22, 2006 - Jun 24, 2006","MTWRF","9:30 am - 1:30 pm","Fine Arts Building DNU B111","Studio","Edward W Kravitz"
"50767","AVT 252","Photography I","B01","Fairfax Campus","Jun 05, 2006 - Jul 27, 2006","TR","12:00 pm - 3:30 pm","Fine Arts Building DNU B213","Studio","Peggy Feerick"
"51834","AVT 252","Photography I","B03","Fairfax Campus","Jun 05, 2006 - Jul 27, 2006","TR","4:30 pm - 8:00 pm","Fine Arts Building DNU B213","Studio","Peggy Feerick"
"50774","AVT 280","Two-Dimensional Digital Arts","B01","Fairfax Campus","Jun 05, 2006 - Jul 27, 2006","TR","4:30 pm - 8:00 pm","Fine Arts Building DNU B208","Studio","Scott M Martin"
"50757","AVT 307","Aesthetics","A01","Fairfax Campus","May 22, 2006 - Jun 24, 2006","MTWR","9:30 am - 11:35 am","Fine Arts Building DNU B108","Lecture","Suzanne Carbonneau"
"50778","AVT 313","Graphic Info Design III","B01","Fairfax Campus","Jun 05, 2006 - Jul 27, 2006","TR","4:30 pm - 8:00 pm","Innovation Hall 129","Studio","Karen H Beach"
"50762","AVT 323","Drawing II","A01","Fairfax Campus","May 22, 2006 - Jun 24, 2006","MTWRF","9:30 am - 1:30 pm","Fine Arts Building DNU B111","Studio","Edward W Kravitz"
"50677","AVT 371","Visual Perception and the Arts","C01","Fairfax Campus","Jul 05, 2006 - Aug 05, 2006","MTWR","9:30 am - 11:35 am","Robinson Hall A243","Lecture","Evans J Mandes"
