"11008","ACCT 203","Survey of Accounting","001","Fairfax Campus","Jan 24, 2005 - May 18, 2005","M","12:00 pm - 1:15 pm","Innovation Hall 103","Lecture","Constance M Hylton"
"11009","ACCT 203","Survey of Accounting","002","Fairfax Campus","Jan 24, 2005 - May 18, 2005","W","12:00 pm - 1:15 pm","Innovation Hall 103","Lecture","Constance M Hylton"
"11026","ACCT 203","Survey of Accounting","003","Fairfax Campus","Jan 24, 2005 - May 18, 2005","M","7:20 pm - 10:00 pm","Enterprise Hall 178","Lecture","Constance M Hylton"
"14270","ACCT 203","Survey of Accounting","004","Prince William Campus","Jan 24, 2005 - May 18, 2005","T","7:20 pm - 10:00 pm","Prince William: Occoquan 302","Lecture","Randall K Gibson"
"12659","ACCT 203","Survey of Accounting","301","Fairfax Campus","Jan 24, 2005 - May 18, 2005","M","1:30 pm - 2:45 pm","DNU Student Union 2 SOM2","Recitation","Douglas John Boe"
"12660","ACCT 203","Survey of Accounting","302","Fairfax Campus","Jan 24, 2005 - May 18, 2005","M","3:00 pm - 4:15 pm","DNU Student Union 2 SOM2","Recitation","Douglas John Boe"
"12661","ACCT 203","Survey of Accounting","303","Fairfax Campus","Jan 24, 2005 - May 18, 2005","M","4:30 pm - 5:45 pm","DNU Student Union 2 SOM2","Recitation","Douglas John Boe"
"12662","ACCT 203","Survey of Accounting","304","Fairfax Campus","Jan 24, 2005 - May 18, 2005","T","10:30 am - 11:45 am","DNU Student Union 2 SOM3","Recitation","Douglas John Boe"
"12663","ACCT 203","Survey of Accounting","305","Fairfax Campus","Jan 24, 2005 - May 18, 2005","T","1:30 pm - 2:45 pm","DNU Student Union 2 SOM3","Recitation","Douglas John Boe"
"12666","ACCT 203","Survey of Accounting","306","Fairfax Campus","Jan 24, 2005 - May 18, 2005","W","1:30 pm - 2:45 pm","DNU Student Union 2 SOM2","Recitation","Constance M Hylton"
"12667","ACCT 203","Survey of Accounting","307","Fairfax Campus","Jan 24, 2005 - May 18, 2005","W","3:00 pm - 4:15 pm","DNU Student Union 2 SOM2","Recitation","Constance M Hylton"
"12669","ACCT 203","Survey of Accounting","309","Fairfax Campus","Jan 24, 2005 - May 18, 2005","R","10:30 am - 11:45 am","Innovation Hall 327","Recitation","Vildan Bayramoglu"
"12670","ACCT 301","Financial Acct/Mangerl Dec-Mkg","001","Fairfax Campus","Jan 24, 2005 - May 18, 2005","MW","1:30 pm - 2:45 pm","Innovation Hall 204","Lecture","Joseph F Moraglio"
"12671","ACCT 301","Financial Acct/Mangerl Dec-Mkg","002","Fairfax Campus","Jan 24, 2005 - May 18, 2005","MW","3:00 pm - 4:15 pm","Innovation Hall 204","Lecture","Joseph F Moraglio"
"12672","ACCT 301","Financial Acct/Mangerl Dec-Mkg","003","Fairfax Campus","Jan 24, 2005 - May 18, 2005","T","7:20 pm - 10:00 pm","Enterprise Hall 178","Lecture","Joseph F Moraglio"
"12673","ACCT 301","Financial Acct/Mangerl Dec-Mkg","004","Fairfax Campus","Jan 24, 2005 - May 18, 2005","TR","10:30 am - 11:45 am","Robinson Hall B113","Lecture","Carol Ann Cox"
"12674","ACCT 301","Financial Acct/Mangerl Dec-Mkg","005","Fairfax Campus","Jan 24, 2005 - May 18, 2005","TR","3:00 pm - 4:15 pm","DNU Science and Technology 1 131","Lecture","David A Roe"
"12675","ACCT 301","Financial Acct/Mangerl Dec-Mkg","006","Fairfax Campus","Jan 24, 2005 - May 18, 2005","R","7:20 pm - 10:00 pm","Fine Arts Building DNU B110","Lecture","Joseph F Moraglio"
"16340","ACCT 301","Financial Acct/Mangerl Dec-Mkg","007","Fairfax Campus","Jan 24, 2005 - May 18, 2005","TR","9:00 am - 10:15 am","Robinson Hall B113","Lecture","Tracy P White"
